
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
106,Pat Falloon,1999,2000,2,RW,115,22,36,58,2,24,13,9,0,2,27,9,0,203,10.8,1645,14:18
107,Mark Fayne,2015,2015,1,D,58,2,5,7,-18,12,2,0,0,0,3,0,2,60,3.3,1044,17:59
108,Taylor Fedun,2014,2014,1,D,4,2,0,2,-1,0,2,0,0,0,0,0,0,6,33.3,49,12:12
109,Andrew Ference,2014,2015,2,D,126,5,24,29,-30,100,5,0,0,1,21,2,1,121,4.1,2579,20:28
110,Scott Ferguson,1998,2004,5,D,201,7,13,20,20,288,7,0,0,1,13,0,0,118,5.9,2555,12:46
111,Chris Ferraro,1999,1999,1,C,2,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,8:33
112,Mark Fistric,2013,2013,1,D,25,0,6,6,6,32,0,0,0,0,6,0,0,9,0.0,383,15:20
113,Bill Flett,1980,1980,1,RW,20,5,2,7,-17,2,4,1,0,0,2,0,0,26,19.2,,
114,Lee Fogolin,1980,1987,8,D,586,36,125,161,152,886,31,0,5,2,114,1,10,587,6.1,,
115,Mike Forbes,1980,1982,2,D,18,1,7,8,10,26,1,0,0,0,7,0,0,17,5.9,,
116,Kurtis Foster,2011,2011,1,D,74,8,14,22,-12,45,3,5,0,0,5,9,0,182,4.4,1307,17:39
117,Nick Fotiu,1989,1989,1,LW,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
118,Colin Fraser,2011,2011,1,C,67,3,2,5,-2,60,2,0,1,0,2,0,0,57,5.3,688,10:16
119,Iain Fraser,1995,1995,1,C,9,3,0,3,3,0,3,0,0,0,0,0,0,5,60.0,,
120,Mark Fraser,2014,2014,1,D,23,1,0,1,-7,43,1,0,0,0,0,0,0,5,20.0,356,15:29
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
121,Matt Fraser,2015,2015,1,LW,18,3,4,7,-1,6,2,1,0,0,4,0,0,29,10.3,209,11:36
122,Scott Fraser,1998,1998,1,C,29,12,11,23,6,6,6,6,0,2,4,7,0,61,19.7,,
123,Doug Friedman,1998,1998,1,LW,16,0,0,0,0,20,0,0,0,0,0,0,0,8,0.0,,
124,Miroslav Frycer,1989,1989,1,RW,14,5,5,10,2,18,3,2,0,0,3,2,0,33,15.2,,
125,Sam Gagner,2008,2014,7,C,481,101,194,295,-77,244,70,30,1,7,134,57,3,1004,10.1,8278,17:12
126,Danny Gare,1987,1987,1,RW,18,1,3,4,2,6,1,0,0,0,3,0,0,22,4.5,,
127,Luke Gazdic,2014,2015,2,LW,91,3,3,6,-8,163,3,0,0,0,3,0,0,48,6.3,560,6:09
128,Martin Gelinas,1989,1993,5,LW,258,60,60,120,9,156,50,10,0,5,56,4,0,396,15.2,,
129,Tom Gilbert,2007,2012,6,D,384,33,125,158,-28,106,21,11,1,3,79,40,6,472,7.0,8709,22:40
130,Brent Gilchrist,1993,1993,1,LW,60,10,10,20,-10,47,8,2,0,0,6,2,2,94,10.6,,
131,Alexandre Giroux,2011,2011,1,C/LW,8,1,1,2,-2,2,1,0,0,0,1,0,0,13,7.7,118,14:45
