
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
77,Benoit Brunet,1989,2002,13,LW,494,92,149,241,44,221,65,17,10,14,121,23,5,789,11.7,2766,17:10
78,Randy Bucyk,1986,1986,1,C,17,4,2,6,5,8,4,0,0,0,2,0,0,21,19.0,,
79,Jan Bulis,2001,2006,5,C,292,58,76,134,0,118,48,8,2,12,66,9,1,545,10.6,4600,15:45
80,Fred Burchell,1951,1954,2,C,4,0,0,0,,2,,,,,,,,,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Valeri Bure,1995,1998,4,RW,215,46,64,110,8,73,35,11,0,5,38,26,0,447,10.3,,
82,Marc Bureau,1996,1998,3,C,182,22,22,44,1,74,20,1,1,5,17,1,4,181,12.2,,
83,Marty Burke,1928,1938,8,D,303,15,38,52,,385,,,,,,,,,,,
84,Walt Buswell,1936,1940,5,D,228,6,31,37,,108,,,,,,,,,,,
85,Herb Cain,1939,1939,1,LW,45,13,14,27,,26,,,,,,,,,,,
86,Billy Cameron,1924,1924,1,RW,18,0,0,0,,2,,,,,,,,,,,
87,Harry Cameron,1920,1920,1,D,16,12,5,17,,36,,,,,,,,,,,
88,Mike Cammalleri,2010,2012,3,C/W,170,54,65,119,3,59,42,12,0,8,35,30,0,522,10.3,3184,18:43
89,Dave Campbell,1921,1921,1,D,2,0,0,0,,0,,,,,,,,,,,
90,Jim Campbell,2001,2001,1,RW,57,9,11,20,-3,53,3,6,0,1,6,5,0,81,11.1,588,10:18
91,Tod Campeau,1944,1949,3,C,42,5,9,14,,16,,,,,,,,,,,
92,Dom Campedelli,1986,1986,1,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,,
93,Chris Campoli,2012,2012,1,D,43,2,9,11,-3,8,2,0,0,0,6,3,0,43,4.7,740,17:12
94,Guy Carbonneau,1981,1994,13,C,912,221,326,547,158,623,183,11,27,33,293,18,15,1526,14.5,,
95,Mathieu Carle,2010,2010,1,D,3,0,0,0,1,4,0,0,0,0,0,0,0,2,0.0,43,14:28
96,Kent Carlson,1984,1986,3,D,85,4,8,12,-14,106,4,0,0,2,7,1,0,46,8.7,,
97,Patrik Carnback,1993,1993,1,C,6,0,0,0,-4,2,0,0,0,0,0,0,0,4,0.0,,
98,Alain Caron,1969,1969,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
99,Bob Carse,1948,1948,1,LW,22,3,3,6,,16,,,,,,,,,,,
100,Gerry Carson,1929,1935,5,D,205,11,8,19,,172,,,,,,,,,,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
101,Billy Carter,1958,1962,2,C,8,0,0,0,,4,,,,,,,,,,,
102,Joe Carveth,1948,1950,3,RW,106,17,33,50,,16,,,,,,,,,,,
103,Andrew Cassels,1990,1991,2,C,60,8,19,27,3,22,7,1,0,4,15,4,0,60,13.3,,
104,John Chabot,1984,1985,2,C,66,19,31,50,1,15,14,4,1,2,23,7,1,77,24.7,,
105,Murph Chamberlain,1941,1949,8,LW,323,66,97,163,,540,,,,,,,,,,,
106,Jose Charbonneau,1988,1989,2,RW,25,1,5,6,0,12,1,0,0,0,4,1,0,37,2.7,,
107,Eric Charron,1993,1993,1,D,3,0,0,0,0,2,0,0,0,0,0,0,0,0,,,
108,Guy Charron,1970,1971,2,C,20,2,2,4,-4,2,2,0,0,0,2,0,0,15,13.3,,
109,Rick Chartraw,1975,1981,7,D/RW,281,18,37,55,66,222,18,0,0,3,37,0,0,302,6.0,,
110,Chris Chelios,1984,1990,7,D,402,72,237,309,74,783,39,29,4,14,117,113,7,992,7.3,,
111,Kyle Chipchura,2008,2010,3,C,68,4,10,14,-17,31,4,0,0,0,9,0,1,52,7.7,707,10:24
112,Tom Chorske,1990,1991,2,LW,71,12,12,24,-6,34,9,3,0,1,7,5,0,101,11.9,,
113,Eric Chouinard,2001,2001,1,LW,13,1,3,4,0,0,0,1,0,0,2,1,0,11,9.1,143,10:59
114,Enrico Ciccone,2001,2001,1,D,3,0,0,0,-1,14,0,0,0,0,0,0,0,0,,9,2:56
115,Brett Clark,1998,1999,2,D,102,3,2,5,-6,36,3,0,0,0,2,0,0,62,4.8,804,13:11
116,Odie Cleghorn,1919,1925,7,RW/C,159,93,33,126,,134,,,,,,,,,,,
117,Sprague Cleghorn,1923,1925,3,D,74,25,22,47,,168,,,,,,,,,,,
118,Wally Clune,1956,1956,1,D,5,0,0,0,,6,,,,,,,,,,,
119,Erik Cole,2012,2013,2,LW,101,38,29,67,12,58,27,11,0,8,25,4,0,282,13.5,1817,17:59
120,Norm Collings,1935,1935,1,F,1,0,1,1,,0,,,,,,,,,,,
