
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
481,Bert Wilson,1981,1981,1,LW,50,5,7,12,-6,94,5,0,0,1,7,0,0,34,14.7,,
482,Carey Wilson,1984,1993,8,C,355,102,161,263,29,160,77,20,5,13,131,29,1,613,16.6,,
483,Clay Wilson,2012,2012,1,D,5,0,0,0,0,4,0,0,0,0,0,0,0,7,0.0,66,13:15
484,Rik Wilson,1986,1986,1,D,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,,
485,David Wolf,2015,2015,1,LW,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,7:31
486,Kevin Wortman,1994,1994,1,D,5,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,,
487,Tyler Wotherspoon,2014,2014,1,D,14,0,4,4,-3,4,0,0,0,0,4,0,0,3,0.0,188,13:27
488,Jamie Wright,2002,2003,2,LW,63,6,14,20,7,32,6,0,0,0,14,0,0,80,7.5,827,13:07
489,Trent Yawney,1992,1996,5,D,274,11,45,56,20,368,8,2,1,1,27,16,2,227,4.8,,
490,Stephane Yelle,2003,2008,5,C,339,31,65,96,2,174,22,6,3,5,50,11,4,407,7.6,5094,15:01
491,C.J. Young,1993,1993,1,RW,28,3,2,5,-7,20,2,1,0,0,2,0,0,21,14.3,,
492,Miles Zaharko,1978,1978,1,D,71,1,19,20,-13,26,1,0,0,0,19,0,0,54,1.9,,
493,Zarley Zalapski,1994,1998,5,D,178,21,55,76,7,220,12,9,0,4,36,19,0,309,6.8,,
494,Richard Zemlak,1992,1992,1,RW,5,0,1,1,-2,42,0,0,0,0,1,0,0,4,0.0,,
495,Andrei Zyuzin,2007,2007,1,D,49,1,5,6,-2,30,1,0,0,0,5,0,0,36,2.8,677,13:49
