
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
69,Pat Falloon,1998,1998,1,RW,28,3,3,6,-11,8,1,2,0,0,2,1,0,73,4.1,,
70,Nikita Filatov,2012,2012,1,LW,9,0,1,1,1,4,0,0,0,0,1,0,0,6,0.0,88,9:49
71,Dmitri Filimonov,1994,1994,1,D,30,1,4,5,-10,18,1,0,0,0,3,0,1,15,6.7,,
72,Mike Fisher,2000,2011,11,C,675,167,181,348,21,554,118,35,14,31,137,31,13,1528,10.9,11465,16:59
73,Nick Foligno,2008,2012,5,LW,351,61,87,148,-21,299,46,15,0,10,68,19,0,574,10.6,4871,13:52
74,Colin Forbes,2000,2001,2,C,84,2,6,8,-4,43,2,0,0,0,6,0,0,80,2.5,626,7:27
75,Marc Fortier,1993,1993,1,C,10,0,1,1,-7,6,0,0,0,0,1,0,0,12,0.0,,
76,Mark Freer,1993,1993,1,C,63,10,14,24,-35,39,4,3,3,0,7,7,0,80,12.5,,
77,Sean Gagnon,2001,2001,1,D,5,0,0,0,0,13,0,0,0,0,0,0,0,0,,54,10:45
78,Bruce Gardiner,1997,2000,4,RW,191,22,32,54,13,146,21,0,1,3,30,1,1,246,8.9,893,12:56
79,Rob Gaudreau,1995,1996,2,RW,88,13,14,27,-35,23,11,1,1,0,9,5,0,141,9.2,,
80,Matt Gilroy,2012,2012,1,D,14,1,2,3,0,2,1,0,0,0,2,0,0,20,5.0,240,17:07
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Brian Glynn,1994,1994,1,D,48,2,13,15,-15,41,1,1,0,0,5,8,0,66,3.0,,
82,Erich Goldmann,2000,2000,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:44
83,Sergei Gonchar,2011,2013,3,D,186,15,76,91,-15,101,6,9,0,4,38,37,1,323,4.6,4280,23:00
84,Derek Grant,2013,2014,2,C,25,0,2,2,-4,4,0,0,0,0,2,0,0,36,0.0,235,9:22
85,Colin Greening,2011,2015,5,C/LW,249,38,49,87,-15,135,30,8,0,5,42,7,0,459,8.3,3571,14:20
86,John Gruden,1999,2000,2,D,22,0,1,1,0,12,0,0,0,0,1,0,0,13,0.0,319,14:29
87,Eric Gryba,2013,2015,3,D,143,4,21,25,8,166,4,0,0,0,20,0,1,152,2.6,2504,17:30
88,Daniel Guerard,1995,1995,1,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
89,Per Gustafsson,1998,1998,1,D,9,0,1,1,3,6,0,0,0,0,1,0,0,12,0.0,,
90,David Hale,2011,2011,1,D,25,1,4,5,7,6,1,0,0,1,4,0,0,20,5.0,408,16:18
91,Denis Hamel,2004,2007,3,LW,52,5,3,8,2,10,5,0,0,0,3,0,0,51,9.8,310,5:57
92,Ken Hammond,1993,1993,1,D,62,4,4,8,-42,104,4,0,0,0,2,2,0,64,6.3,,
93,Radek Hamr,1993,1994,2,D,11,0,0,0,-14,0,0,0,0,0,0,0,0,7,0.0,,
94,Dave Hannan,1997,1997,1,C,34,2,2,4,-1,8,1,0,1,1,1,0,1,16,12.5,,
95,Martin Havlat,2001,2006,5,RW,298,105,130,235,39,166,64,40,1,23,83,44,3,689,15.2,4635,15:33
96,Dany Heatley,2006,2009,4,LW,317,180,182,362,82,324,107,68,5,31,114,65,3,1092,16.5,6651,20:58
97,Ales Hemsky,2014,2014,1,RW,20,4,13,17,-2,4,4,0,0,0,9,4,0,44,9.1,313,15:37
98,Josh Hennessy,2007,2010,4,C,20,1,0,1,-2,4,1,0,0,0,0,0,0,10,10.0,113,5:38
99,Chris Herperger,2002,2002,1,C,72,4,9,13,4,43,4,0,0,0,9,0,0,81,4.9,815,11:19
100,Sean Hill,1995,1998,4,D,143,9,29,38,-39,134,7,2,0,2,19,8,2,289,3.1,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
