
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
81,Joe Finley,2012,2012,1,D,5,0,0,0,-3,12,0,0,0,0,0,0,0,1,0.0,39,7:47
82,Ron Fischer,1982,1983,2,D,18,0,7,7,-3,6,0,0,0,0,6,1,0,17,0.0,,
83,Rory Fitzpatrick,2002,2006,4,D,157,9,15,24,-32,114,5,4,0,3,8,7,0,154,5.8,2731,17:23
84,Reggie Fleming,1971,1971,1,D/LW,78,6,10,16,-8,159,6,0,0,0,7,2,1,54,11.1,,
85,Brian Flynn,2013,2015,3,RW,153,16,22,38,-10,20,14,0,2,1,19,1,2,216,7.4,2267,14:48
86,Lee Fogolin,1975,1987,6,D,338,8,70,78,25,432,5,3,0,2,67,2,1,303,2.6,,
87,Marcus Foligno,2012,2015,4,LW,167,24,38,62,-19,175,20,3,1,4,31,6,1,191,12.6,2429,14:32
88,Mike Foligno,1982,1991,10,RW,664,247,264,511,115,1450,183,62,2,43,201,59,4,1449,17.0,,
89,Lou Franceschetti,1991,1992,2,RW,36,1,7,8,2,28,1,0,0,1,6,1,0,20,5.0,,
90,Michael Funk,2007,2008,2,D,9,0,2,2,-1,0,0,0,0,0,2,0,0,2,0.0,64,7:04
91,Jody Gage,1986,1992,3,RW,18,3,3,6,-6,2,0,3,0,0,2,1,0,28,10.7,,
92,Garry Galley,1995,1997,3,D,163,15,87,102,12,193,4,9,2,3,41,44,2,290,5.2,,
93,Paul Gardner,1986,1986,1,C,2,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,,
94,Danny Gare,1975,1982,8,RW,503,267,233,500,190,686,200,66,1,35,176,56,1,1783,15.0,,
95,Paul Gaustad,2003,2012,8,C,479,71,110,181,14,585,55,15,1,10,89,17,4,736,9.6,7170,14:58
96,Nathan Gerbe,2009,2013,5,C,188,29,43,72,14,88,24,4,1,6,38,4,1,425,6.8,2542,13:31
97,Clark Gillies,1987,1988,2,LW,86,15,19,34,1,132,14,1,0,3,18,1,0,129,11.6,,
98,Jere Gillis,1983,1983,1,LW,3,0,0,0,-6,0,0,0,0,0,0,0,0,3,0.0,,
99,Doug Gilmour,2000,2001,2,C,82,10,45,55,6,82,4,6,0,0,33,12,0,104,9.6,1489,18:09
100,Brian Gionta,2015,2015,1,RW,44,5,9,14,-7,16,5,0,0,2,8,1,0,82,6.1,714,16:14
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
101,Zemgus Girgensons,2014,2015,2,C,127,22,27,49,-23,35,18,1,3,2,24,2,1,223,9.9,2172,17:06
102,Viktor Gordiouk,1993,1995,2,LW,26,3,8,11,1,0,3,0,0,0,7,1,0,34,8.8,,
103,Josh Gorges,2015,2015,1,D,46,0,6,6,-28,16,0,0,0,0,5,0,1,28,0.0,1029,22:21
104,John Gould,1972,1980,4,RW,92,14,12,26,1,13,14,0,0,3,10,2,0,127,11.0,,
105,Phil Goyette,1971,1972,2,C,97,18,67,85,-25,20,6,12,0,1,37,30,0,152,11.8,,
106,Marc-Andre Gragnani,2008,2012,4,D,59,2,13,15,10,28,1,1,0,1,5,8,0,50,4.0,932,15:48
