
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
178,Paul Mara,1999,2001,3,D,101,14,22,36,-47,113,7,7,0,2,15,7,0,137,10.2,2282,22:35
179,Bryan Marchment,1998,1998,1,D,22,2,4,6,-3,43,2,0,0,0,1,1,2,20,10.0,,
180,Steve Martins,2000,2001,2,C,77,6,8,14,-20,50,5,0,1,1,6,0,2,80,7.5,958,12:26
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
181,Chris McAlpine,2000,2000,1,D,10,1,1,2,-5,10,1,0,0,0,1,0,0,5,20.0,184,18:23
182,Mike McBain,1998,1999,2,D,64,0,7,7,-21,22,0,0,0,0,7,0,0,39,0.0,548,14:49
183,Sandy McCarthy,1998,1999,2,RW,81,5,12,17,-23,206,4,1,0,0,11,1,0,115,4.3,739,11:02
184,Bill McDougall,1994,1994,1,C,22,3,3,6,-4,8,2,1,0,0,2,1,0,26,11.5,,
185,Basil McRae,1993,1993,1,LW,14,2,3,5,-3,71,1,1,0,0,3,0,0,23,8.7,,
186,Josef Melichar,2009,2009,1,D,24,0,5,5,1,29,0,0,0,0,5,0,0,16,0.0,407,16:58
187,Andrej Meszaros,2009,2010,2,D,133,8,25,33,-18,86,5,3,0,2,16,9,0,232,3.4,2892,21:44
188,Glen Metropolit,2002,2002,1,C,2,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,10:25
189,Vladimir Mihalik,2009,2010,2,D,15,0,3,3,-7,8,0,0,0,0,3,0,0,8,0.0,194,12:54
190,Brendan Mikkelson,2012,2013,2,D,45,1,3,4,-3,19,1,0,0,0,2,1,0,45,2.2,629,13:59
191,Craig Millar,2001,2001,1,D,16,1,1,2,-8,10,1,0,0,1,1,0,0,10,10.0,240,15:01
192,Drew Miller,2010,2010,1,LW,14,0,0,0,-3,2,0,0,0,0,0,0,0,10,0.0,171,12:13
193,Norm Milley,2006,2006,1,RW,14,2,1,3,-2,4,1,1,0,0,1,0,0,12,16.7,100,7:09
194,Fredrik Modin,2000,2006,6,LW,445,145,141,286,16,224,110,32,3,23,100,33,8,1131,12.8,7922,17:48
195,Michel Mongeau,1993,1993,1,C,4,1,1,2,-2,2,1,0,0,0,0,1,0,2,50.0,,
196,Dominic Moore,2011,2012,2,C,133,22,29,51,-22,100,15,6,1,4,25,4,0,249,8.8,2112,15:53
197,Brenden Morrow,2015,2015,1,LW,51,2,4,6,-3,45,2,0,0,0,4,0,0,22,9.1,474,9:17
198,Bryan Muir,2000,2001,2,D,40,1,4,5,-15,47,1,0,0,0,2,2,0,46,2.2,770,19:15
199,Cory Murphy,2009,2009,1,D,25,5,10,15,-3,12,1,4,0,0,5,5,0,47,10.6,503,20:08
200,Brantt Myhres,1995,1997,2,RW,62,5,1,6,-1,217,5,0,0,2,1,0,0,17,29.4,,
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
201,Vladislav Namestnikov,2014,2015,2,C,30,3,4,7,2,10,2,1,0,1,4,0,0,34,8.8,342,11:24
202,Andrei Nazarov,1998,1999,2,LW,40,3,1,4,-14,101,3,0,0,0,1,0,0,37,8.1,214,8:13
203,Stan Neckar,2001,2003,3,D,163,2,13,15,-25,75,1,0,1,1,11,2,0,86,2.3,3186,19:32
204,Nikita Nesterov,2015,2015,1,D,13,1,2,3,6,12,1,0,0,0,2,0,0,16,6.3,196,15:05
205,Janne Niskala,2009,2009,1,D,6,1,2,3,0,6,0,1,0,0,2,0,0,10,10.0,82,13:42
206,Jeff Norton,1997,1998,2,D,50,4,11,15,-25,42,0,4,0,0,7,3,1,54,7.4,,
207,Michael Nylander,1999,2000,2,C,35,3,9,12,-13,10,2,1,0,0,5,4,0,36,8.3,439,12:33
208,Doug O'Brien,2006,2006,1,D,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,39,7:43
209,Shane O'Brien,2007,2009,3,D,96,4,19,23,-11,190,4,0,0,1,17,1,1,86,4.7,1974,20:33
210,Evan Oberg,2012,2012,1,D,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,30,9:50
211,Mattias Ohlund,2010,2011,2,D,139,0,18,18,-15,129,0,0,0,0,16,2,0,110,0.0,2877,20:41
212,Jimmie Olvestad,2002,2003,2,LW,111,3,14,17,1,40,3,0,0,0,12,0,2,129,2.3,1423,12:49
213,Keith Osborne,1993,1993,1,RW,11,1,1,2,-1,8,1,0,0,1,1,0,0,11,9.1,,
214,Michel Ouellet,2008,2008,1,RW,64,17,19,36,11,12,12,5,0,0,13,6,0,132,12.9,872,13:37
215,Ondrej Palat,2013,2015,3,LW,150,37,68,105,62,40,30,4,3,8,54,11,3,284,13.0,2603,17:21
216,Richard Panik,2013,2014,2,RW,75,8,14,22,-11,25,7,1,0,1,9,5,0,90,8.9,918,12:14
217,Cedric Paquette,2014,2015,2,C,49,12,7,19,6,40,10,0,2,3,7,0,0,72,16.7,656,13:23
218,Mark Parrish,2010,2010,1,RW,16,0,2,2,-5,4,0,0,0,0,2,0,0,10,0.0,243,15:10
219,Eric Perrin,2004,2007,2,C,86,13,23,36,-8,30,10,2,1,0,16,5,2,154,8.4,1429,16:36
220,Brent Peterson,1997,1999,3,LW,56,9,1,10,-8,6,9,0,0,0,1,0,0,42,21.4,179,8:58
Rk,Player,From,To,Yrs,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
